experiment_id,image_id,transformation,transformation_type,parameters,face_detected,face_similarity,recognition_success,candidate_threshold,psnr,ssim,env_deepshield_version,env_git_commit,env_python,env_platform,env_numpy,env_random_seed,env_device,env_face_detector,env_face_aligner,env_face_embedder,env_deepfake_detector,env_watermark_backend,env_watermark_strength,env_recorded_at
face_recognition_robustness,einstein_2.jpg,crop_30,crop,{'ratio': 0.3},False,,,0.4359,12.9176,0.569654,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,rotate_5,rotation,{'degrees': 5},True,0.932307,True,0.4359,17.8912,0.567317,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,blur_1,blur,{'sigma': 1.0},True,0.97582,True,0.4359,42.0582,0.961943,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,noise_5,noise,{'sigma': 5.0},True,0.982373,True,0.4359,34.0992,0.892353,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,brightness_up,brightness,{'factor': 1.2},True,0.912294,True,0.4359,23.6014,0.974428,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,contrast_down,contrast,{'factor': 0.8},True,0.957518,True,0.4359,28.7833,0.982434,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,webp_q80,webp,{'quality': 80},True,0.973295,True,0.4359,39.7827,0.93929,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,screenshot,screenshot_simulation,"{'scale': 0.9, 'quality': 85}",True,0.992826,True,0.4359,44.6446,0.98369,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,jpeg_q90,jpeg_compression,{'quality': 90},True,0.96286,True,0.4359,47.2246,0.99338,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,jpeg_q70,jpeg_compression,{'quality': 70},True,0.945447,True,0.4359,37.2549,0.933466,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,jpeg_q50,jpeg_compression,{'quality': 50},True,0.951848,True,0.4359,35.4546,0.902646,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,resize_75,resize,{'scale': 0.75},True,0.982331,True,0.4359,43.3192,0.983821,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,resize_50,resize,{'scale': 0.5},True,0.952357,True,0.4359,35.8323,0.90855,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,resize_25,resize,{'scale': 0.25},True,0.951896,True,0.4359,30.2898,0.675603,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,crop_10,crop,{'ratio': 0.1},True,0.926901,True,0.4359,12.7059,0.2864,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,crop_30,crop,{'ratio': 0.3},False,,,0.4359,10.7296,0.276591,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,rotate_5,rotation,{'degrees': 5},True,0.951893,True,0.4359,15.8719,0.308681,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,blur_1,blur,{'sigma': 1.0},True,0.954942,True,0.4359,34.1522,0.867899,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,noise_5,noise,{'sigma': 5.0},True,0.946719,True,0.4359,34.1214,0.938558,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,brightness_up,brightness,{'factor': 1.2},True,0.940396,True,0.4359,21.0186,0.963928,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,contrast_down,contrast,{'factor': 0.8},True,0.960639,True,0.4359,26.7574,0.957819,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,webp_q80,webp,{'quality': 80},True,0.956426,True,0.4359,38.2437,0.950968,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,tesla_1.jpg,screenshot,screenshot_simulation,"{'scale': 0.9, 'quality': 85}",True,0.972999,True,0.4359,44.5497,0.987315,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
